name;type;partly_passable;id;blit;tiling_x;tiling_y;x;y
floor_2;passable;0;0;first;1920;960;0;0
back_wall_2;solid;1;0;y;1920;200;0;-200
down_wall_1;solid;0;0;first;1520;100;-200;500
down_wall_2;solid;0;0;first;943;100;1160;1040
down_roof_1;solid;0;0;last;1545;160;-200;340
down_roof_2;solid;0;0;last;580;160;1340;920
left_roof_1;solid;0;0;last;200;900;-200;-400
left_roof_2;solid;0;0;last;195;600;1150;500
right_roof;solid;0;0;last;200;1460;1920;-400
up_roof;solid;0;0;last;1920;200;0;-400
flowerbed;solid;1;0;y;0;0;32;24
skeleton;enemy;0;1;y;0;1;300;200
skeleton;enemy;0;2;y;0;1;400;200
skeleton;enemy;0;3;y;0;1;500;200
store_back;passable;0;0;last;219;140;1328;-205
store_front;solid;1;0;y;200;85;1338;-65
manhole;passable;0;0;first;160;80;1760;780
